Judul,Penulis,Abstrak
[PDF][PDF] Implementasi Machine Learning pada Sistem Prediksi Kejadian dan Lokasi Patah Rel Kereta Api di Indonesia,"NN Hakim - Jurnal Sistem Cerdas, 2020 - apic.id","… masyarakat Indonesia … machine learning untuk melakukan penilaian kondisi rel. Metode 
penilaian yang dimaksud dalam penelitian ini adalah penggunaan model machine learning …"
Penerapan Teknik SMOTE untuk Mengatasi Imbalance Class dalam Klasifikasi Objektivitas Berita Online Menggunakan Algoritma KNN,"AN Kasanah, M Muladi, U Pujianto - Jurnal RESTI (Rekayasa …, 2019 - jurnal.iaii.or.id","… The algorithm proposed is K-Nearest Neighbor (KNN) … KNN algorithm without SMOTE and 
the performance of KNN … could improve the accuracy of the KNN algorithm at values k = 1 and …"
Pengembangan Sistem Informasi Akademik Berbasis Mobile Menggunakan Flutter Di Universitas Narotama Surabaya,"AP Pratama, M Kamisutara - Jurnal Ilmiah NERO, 2021 - repository.narotama.ac.id","… because by using Flutter we can make it once but can be used for mobile devices with … 
membuat aplikasi berbasis sistem operasi IOS milik Apple menggunakan framework Flutter ini. …"
Aplikasi E-Commerce Galeri Lembaga Adat Melayu Riau Berbasis Mobile Menggunakan Flutter Menerapkan Metode Waterfall,"A Wahyu, M Affandes, P Pizaini… - Journal of …, 2023 - ejurnal.seminar-id.com","… menciptakan aplikasi yang dapat dijalankan di lebih dari satu perangkat. Pada saat ini flutter 
dapat menggunakan aplikasi mobile (IOS, dan android), web, dan desktop [7] dan aplikasi …"
Perancangan Aplikasi Undangan Pernikan Online Berbasis Mobile Menggunakan Flutter,"A Sevtiana, F Cahyadi, A Setiawan - Jurnal Manajemen Sistem …, 2023 - jurnal.cic.ac.id","… dengan menggunakan aplikasi berbasis digital mobile dengan menggunakan flutter. Dan 
… sistem aplikasi undangan pernikahan berbasis digital mobile dengan menggunakan flutter …"
Penerapan Clean Architecture Dalam Membangun Aplikasi Berbasis Mobile Dengan Framework Google Flutter,"MB Sinatria, O Komarudin, K Prihandani - INFOTECH journal, 2023 - ejournal.unma.ac.id","… a mobile-based application with Flutter … mobile-based applications using Google Flutter 
framework. The method in this research uses Agile with Scrum and uses the Google Flutter …"
Pengembangan Aplikasi Mobile Tanggap Bencana Di Kab. Bengkalis Menggunakan Framework Flutter,"M Fauzi, A Teddyyana, D Enda - ZONAsi: Jurnal Sistem …, 2021 - journal.unilak.ac.id","… maka dapat disimpulkan bahwa aplikasi yang dikembangkan menggunakan Flutter pada 
penelitian ini dapat dibuat dengan waktu yang relatif singkat, apalagi aplikasi dapat dijalankan …"
Aplikasi Manajemen Inventori Berbasis Mobile Menggunakan Flutter Dan Firebase Realtime Database,"A Saputri, AM Hirzan - Jurnal Informatika dan Teknik Elektro …, 2024 - journal.eng.unila.ac.id","… Dengan pengembangan Aplikasi STOKIS menggunakan framework flutter dan firebase 
realtime database dengan metode waterfall yang telah diuji cobakan selama 15 hari dapat …"
Pengembangan Dashboard Trivy Berbasis Website Menggunakan React Js dan Golang,"AA Kroons, C Dewi - Jurnal Indonesia: Manajemen Informatika …, 2023 - journal.stmiki.ac.id","… Bagian ini membahas tentang bentuk sebuah website yang dirancang menggunakan React 
JS dan Golang. Halaman login merupakan halaman yang mengharuskan pengguna untuk …"
Teknik Single Page Application (Spa) Layout Web Dengan Menggunakan React Js Dan Bootstrap,"MF Santoso - Jurnal Khatulistiwa Informatika, 2021 - ejournal.bsi.ac.id","… ikut mempengaruhi dibidang pengembangan website. Sebuah halaman web saat ini tidak 
… Seorang web desainer dituntut tidak hanya berfokus pada layout desain melainkan harus …"
Pengembangan Sistem Informasi Pengelolaan Persediaan Barang Dengan ReactJS Dan React Native Menggunakan Prototype (Studi Kasus: Toko Uda Fajri),"FF Nursaid, AH Brata, AP Kharisma - Jurnal Pengembangan …, 2020 - j-ptiik.ub.ac.id","… merupakan kerangka kerja open source yang menggunakan library … React biasa digunakan 
untuk menangani pengembangan pada aplikasi single-page dan aplikasi mobile. ReactJS …"
Membangun Antarmuka Pengguna Menggunakan ReactJs untuk Modul Manajemen Pengguna,"SK Murti, A Sujarwo - AUTOMATA, 2021 - journal.uii.ac.id","… dari awal menggunakan ReactJs untuk standarisasi library atau pustakanya karena 
pengembangan web sebelumnya belum menggunakan ReactJs. Nantinya modul ini akan …"
"Perbandingan Metode Data Mining Untuk Prediksi Nilai Dan Waktu Kelulusan Mahasiswa Prodi Teknik Informatika Dengan Algoritma C4, 5, Naïve Bayes, Knn Dan …","S Widaningsih - Jurnal Tekno Insentif, 2019 - jurnal.lldikti4.or.id","… Tahap menggunakan model klasifikasi Pada tahap ini model diterapkan pada data yang 
belum diketahui kelasnya. Proses penerapan model klasifikasi untuk memprediksikan kelas …"
Penerapan React JS Pada Pengembangan FrontEnd Aplikasi Startup Ubaform,"L Iswari - AUTOMATA, 2021 - journal.uii.ac.id","… untuk pengembangan ubaform menggunakan React JS dengan beberapa package tambahan. 
Penggunaan package dapat mempercepat proses pengembangan pembuatan frontend …"
Pengembangan Menu Digital Menggunakan ReactJs Implementasi Hasil Belajar Studi Independen di Frontend Engineering Program Ruangguru CAMP (Career …,"K Juan, S Budi - Jurnal STRATEGI-Jurnal Maranatha, 2023 - strategi.it.maranatha.edu","… menggunakan React Js dan React Router DOM serta dengan bantuan framework CSS 
Chakra UI dapat membuat sebuah aplikasi yang responsif dan efisien dalam pengembangan …"
Rancang Bangun E-Commerce Berbasis Single Page Application (SPA) Menggunakan ReactJS,"Z Akhmad, MA Gustalika - PETIK: Jurnal …, 2022 - journal.institutpendidikan.ac.id","… aplikasi penjualan mebel berbasis website. Selanjutnya pada penelitian yang dilakukan … 
web menggunakan library React Js dan Bootstrap dalam pengembangan aplikasi web Single …"
[PDF][PDF] Implementasi Reactjs Pada Pembuatan Sistem Informasi Digital Printing Berbasis Website,"M Nuraminudin, MM Dewi, S Suharsono… - Information System …, 2023 - jurnal.amikom.ac.id","… , proses pengembangan website yang besar menjadi lebih mudah dan cepat [6]. React 
adalah pustaka untuk membangun antarmuka pengguna yang dapat disusun dan React JS …"
"Aplikasi Artificial Intelligence Untuk Mendeteksi Objek Berbasis Web Menggunakan Library Tensorflow Js, React Js Dan Coco Dataset","PD Arnesia, NA Pratama… - JSiI (Jurnal Sistem …, 2022 - e-jurnal.lppmunsera.org","… Perancangan aplikasi ini menggunakan struktur navigasi non-linier. Struktur navigasi non-linier 
merupakan struktur tidak terurut yang merupakan pengembangan dari struktur navigasi …"
[PDF][PDF] Desain sistem speech recognition penerjemah bahasa toraja menggunakan hidden markov model,"S Wahyuni, NS Layuk, RH Loly… - Jurnal Penelitian Pos …, 2021 - jurnal-ppi.kominfo.go.id","… daerah sebagai Bahasa sehari-hari mereka. Oleh karena itu, … speech recognition penerjemah 
untuk salah satu Bahasa daerah di Indonesia yaitu bahasa Toraja ke Bahasa Indonesia …"
Implementasi Speech Recognition Pada Perpustakaan SMKS Teladan Medan,"MF Saputra, MAE Nasution - Jurnal Info Digit (JID), 2024 - kti.potensi-utama.org","… Proses dalam sistem text-to-speech bahasa Indonesia meliputi dua proses yaitu proses 
pengubahan teks lisan menjadi fonem dan proses pengubahan fonem menjadi ucapan. Selain …"
Objek Deteksi Makanan Khas Palembang Menggunakan Algoritma YOLO (You Only Look Once),"L Rahma, H Syaputra, AH Mirza… - Jurnal Nasional Ilmu …, 2021 - journal.jis-institute.org","… one object detection algorithm that has a higher level of accuracy and processing speed, 
namely You Only Look Once (YOLO… to do object detection with the You Only Look Once (YOLO) …"
Penggunaan Metode YOLO Pada Deteksi Objek: Sebuah Tinjauan Literatur Sistematis,"DN Alfarizi, RA Pangestu, D Aditya… - AI dan SPK: Jurnal …, 2023 - jurnalmahasiswa.com","… literature review on object detection using the YOLO method. … regarding the YOLO method 
of object detection. This paper … Dalam penelitian ini penulis menggunakan algoritma YOLO …"
